ArticleNumber;Size;Quantity
803478;36/38;1
841510;40;1
841510;34;1
841510;38;1
863707;36;1
863707;40;1
863707;42;1
863707;44;1
863707;46;1
865245;32/34;1
405243;40;1
634038;36/38;1
671876;32;1
671876;34;1
671876;36;1
671876;38;1
29773;34;1
29773;36;1
29773;38;1
29773;40;1
29773;42;1
44485;34;1
44485;36;1
526025;34;1
526025;36;1
85670;34;1
85670;36;1
85670;38;1
85670;40;1
85670;42;1
85670;44;1
3090008;40;1
3090008;42;1
3796;34;1
3796;36;1
3796;38;1
529418;40/42;1
529418;44/46;1
549135;40/42;1
549135;44/46;1
549135;48/50;1
549135;52;1
609210;32/34;1
709411;34;1
709411;36;1
709411;38;1
736100;40/42;1
736100;44/46;1
736100;48/50;1
736100;56;1
752880;40/42;1
752880;44/46;1
752880;48/50;1
832838;36;1
832838;40;1
832838;42;1
832838;44;1
236563;32/34;1
236563;36/38;1
602100;34;1
602100;36;1
602100;38;1
760368;36/38;1
760368;40/42;1
40720;36;1
40720;38;1
40720;40;1
40720;42;1
40720;34;1
463475;40;1
463475;34;1
463475;36;1
463475;38;1
466925;40;1
466925;42;1
466925;34;1
466925;36;1
466925;38;1
50504;42;1
50504;44;1
50504;46;1
50504;34;1
50504;36;1
50504;38;1
50504;40;1
509512;36;1
509512;38;1
509512;40;1
509512;34;1
520613;32;1
520613;34;1
520613;36;1
520613;38;1
520613;40;1
531277;42;1
531277;44;1
531277;34;1
531277;36;1
531277;38;1
531277;40;1
608968;32/34;1
608968;36/38;1
616813;48/50;1
616813;40/42;1
616813;44/46;1
620841;40;1
620841;34;1
620841;36;1
620841;38;1
661419;44;1
661419;46;1
661419;48;1
661419;52;1
661419;40;1
661419;42;1
689091;32/34;1
689091;36/38;1
689091;40/42;1
694795;32/34;1
701909;40;1
701909;42;1
701909;44;1
701909;32;1
701909;34;1
701909;38;1
77920;34;1
77920;36;1
77920;38;1
77920;40;1
77920;42;1
796232;32;1
796232;34;1
796232;36;1
796232;38;1
830846;32;1
830846;34;1
830846;36;1
830846;38;1
852667;32/34;1
852667;36/38;1
852667;40/42;1
425754;L;1
53812;36;1
53812;38;1
53812;40;1
53812;42;1
552513;44;1
552513;46;1
552513;34;1
552513;40;1
552513;42;1
668771;46;1
8357;40;1
8357;42;1
8357;44;1
8357;46;1
35050;34;1
35050;36;1
35050;38;1
35050;40;1
35050;42;1
35050;44;1
35050;46;1
44449;34;1
44449;36;1
44449;38;1
44449;40;1
47021;34;1
47021;36;1
47021;38;1
47021;40;1
47021;42;1
47021;46;1
47593;34;1
47593;36;1
47593;38;1
47593;40;1
47593;42;1
590117;40/42;1
590117;44/46;1
590117;48/50;1
667274;34;1
667274;36;1
667274;38;1
667274;40;1
766655;36/38;1
636046;32;1
636046;34;1
636046;36;1
636046;38;1
466794;32/34;1
466794;36/38;1
466794;40/42;1
466794;44;1
672449;32;1
672449;34;1
672449;36;1
672449;38;1
672449;40;1
672449;42;1
672449;44;1
3090009;36;1
3090009;38;1
3090009;40;1
3090009;42;1
3090027;38;1
3090027;40;1
3090027;42;1
68930;42;1
68930;34;1
68930;36;1
68930;38;1
68930;40;1
34741;34;1
34741;36;1
34741;38;1
34741;40;1
34741;42;1
434529;34;1
434529;36;1
434529;38;1
434529;40;1
475182;40/42;1
767568;38;1
767568;40;1
767568;32;1
767568;34;1
767568;36;1
253144;34;1
253144;36;1
253144;38;1
253144;40;1
253144;42;1
253144;46;1
270748;32/34;1
343284;36/38;1
343284;40/42;1
343284;44/46;1
343284;48;1
520243;32/34;1
520243;36/38;1
520243;40/42;1
609120;32/34;1
609120;36/38;1
403937;32/34;1
403937;36/38;1
403937;40/42;1
